"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC#1 Verify the booking Created ","9320","post_Request_Update","Pin code Checking Project","Thu Sep 25 10:25:55 IST 2025","passed","Thu Sep 25 10:26:04 IST 2025","org.RestAPi.ex_06_Assertions.Poster1","Rest_API_Project","org.RestAPi.ex_06_Assertions.Lab24_RestAssured_Assertions","post_Request_Update"
"","5891","post_Request_Update","Default Suite","Wed Sep 24 15:00:54 IST 2025","broken","Wed Sep 24 15:01:00 IST 2025","org.RestAPi.ex_06_Assertions.Post","Rest_API_Project","org.RestAPi.ex_06_Assertions.Post","post_Request_Update"
